,Unnamed: 0,timestamp,location,price,loyaltynum
0,144,01/13/2014,Brew've Been Served,9.53,L9406
2,146,01/13/2014,Brew've Been Served,13.37,L6110
6,150,01/13/2014,Brew've Been Served,19.89,L2343
39,845,01/13/2014,Brew've Been Served,12.8,L1485
61,867,01/13/2014,Brew've Been Served,6.69,L5259
63,869,01/13/2014,Brew've Been Served,8.04,L3800
71,877,01/13/2014,Brew've Been Served,4.18,L8148
77,883,01/13/2014,Brew've Been Served,11.49,L3572
79,885,01/13/2014,Brew've Been Served,18.23,L2490
82,888,01/13/2014,Brew've Been Served,16.05,L2169
107,913,01/13/2014,Brew've Been Served,8.0,L7291
108,914,01/13/2014,Brew've Been Served,18.71,L8566
111,917,01/13/2014,Brew've Been Served,19.64,L9254
