,Unnamed: 0,timestamp,location,price,loyaltynum
12,206,01/15/2014,Guy's Gyros,12.19,L6267
15,209,01/15/2014,Guy's Gyros,16.58,L2343
19,213,01/15/2014,Guy's Gyros,24.91,L2247
30,1022,01/15/2014,Guy's Gyros,14.37,L7783
43,1035,01/15/2014,Guy's Gyros,21.43,L1485
65,1057,01/15/2014,Guy's Gyros,25.58,L5553
72,1064,01/15/2014,Guy's Gyros,36.35,L8148
74,1066,01/15/2014,Guy's Gyros,27.01,L3572
76,1068,01/15/2014,Guy's Gyros,18.04,L2490
81,1073,01/15/2014,Guy's Gyros,31.04,L2169
93,1085,01/15/2014,Guy's Gyros,15.89,L9637
116,1108,01/15/2014,Guy's Gyros,19.8,L8566
117,1109,01/15/2014,Guy's Gyros,29.34,L9254
118,1110,01/15/2014,Guy's Gyros,28.75,L9254
