,Unnamed: 0,timestamp,location,price,loyaltynum
10,204,01/15/2014,Ouzeri Elian,25.7,L2247
14,208,01/15/2014,Ouzeri Elian,26.61,L8328
26,220,01/15/2014,Ouzeri Elian,8.57,L1107
28,1020,01/15/2014,Ouzeri Elian,24.81,L5777
29,1021,01/15/2014,Ouzeri Elian,32.95,L5777
37,1029,01/15/2014,Ouzeri Elian,23.18,L6267
40,1032,01/15/2014,Ouzeri Elian,8.93,L1682
56,1048,01/15/2014,Ouzeri Elian,36.47,L4149
59,1051,01/15/2014,Ouzeri Elian,22.86,L6544
77,1069,01/15/2014,Ouzeri Elian,12.9,L2490
98,1090,01/15/2014,Ouzeri Elian,28.86,L3288
