,Unnamed: 0,timestamp,location,price,loyaltynum
1,222,01/16/2014,Hallowed Grounds,17.92,L8328
5,226,01/16/2014,Hallowed Grounds,18.23,L6267
6,227,01/16/2014,Hallowed Grounds,4.6,L1107
27,1115,01/16/2014,Hallowed Grounds,12.19,L5777
48,1136,01/16/2014,Hallowed Grounds,13.84,L6119
58,1146,01/16/2014,Hallowed Grounds,18.2,L6544
61,1149,01/16/2014,Hallowed Grounds,7.22,L4424
68,1156,01/16/2014,Hallowed Grounds,4.98,L5553
100,1188,01/16/2014,Hallowed Grounds,17.74,L7814
104,1192,01/16/2014,Hallowed Grounds,12.61,L3259
