,Unnamed: 0,timestamp,location,price,loyaltynum
7,84,01/09/2014,Hippokampos,27.47,L9018
9,86,01/09/2014,Hippokampos,19.22,L2247
28,574,01/09/2014,Hippokampos,8.43,L3191
29,575,01/09/2014,Hippokampos,10.12,L3191
40,586,01/09/2014,Hippokampos,15.02,L5947
48,594,01/09/2014,Hippokampos,9.12,L4149
61,607,01/09/2014,Hippokampos,24.96,L3366
78,624,01/09/2014,Hippokampos,25.7,L2169
91,637,01/09/2014,Hippokampos,13.84,L8012
105,651,01/09/2014,Hippokampos,23.66,L5224
108,654,01/09/2014,Hippokampos,27.93,L7291
116,662,01/09/2014,Hippokampos,9.13,L6886
